Epoch,Training Error,Validation Error
716,0.316957,0.567108
717,0.316957,0.567108
718,0.316957,0.567108
719,0.316957,0.567108
720,0.316957,0.567108
721,0.316957,0.567108
722,0.316957,0.567108
723,0.316957,0.567108
724,0.316957,0.567108
725,0.316957,0.567108
726,0.316957,0.567108
727,0.316957,0.567108
728,0.316957,0.567108
729,0.316957,0.567108
730,0.316957,0.567108
731,0.316957,0.567108
732,0.316957,0.567108
733,0.316957,0.567108
734,0.316957,0.567108
735,0.316957,0.567108
736,0.316957,0.567108
737,0.316957,0.567108
738,0.316957,0.567108
739,0.316957,0.567108
740,0.316957,0.567108
741,0.316957,0.567108
742,0.316957,0.567108
743,0.316957,0.567108
744,0.316957,0.567108
745,0.316957,0.567108
746,0.316957,0.567108
747,0.316957,0.567108
748,0.316957,0.567108
749,0.316957,0.567108
750,0.316957,0.567108
751,0.316957,0.567108
752,0.316957,0.567108
753,0.316957,0.567108
754,0.316957,0.567108
755,0.316957,0.567108
756,0.316957,0.567108
757,0.316957,0.567108
758,0.316957,0.567108
759,0.316957,0.567108
760,0.316957,0.567108
761,0.316957,0.567108
762,0.316957,0.567108
763,0.316957,0.567108
764,0.316957,0.567108
765,0.316957,0.567108
766,0.316957,0.567108
767,0.316957,0.567108
768,0.316957,0.567108
769,0.316957,0.567108
770,0.316957,0.567108
771,0.316957,0.567108
772,0.316957,0.567108
773,0.316957,0.567108
774,0.316957,0.567108
775,0.316957,0.567108
776,0.316957,0.567108
777,0.316957,0.567108
778,0.316957,0.567108
779,0.316957,0.567108
780,0.316957,0.567108
781,0.316957,0.567108
782,0.316957,0.567108
783,0.316957,0.567108
784,0.316957,0.567108
785,0.316957,0.567108
786,0.316957,0.567108
787,0.316957,0.567108
788,0.316957,0.567108
789,0.316957,0.378072
790,0.316957,0.378072
791,0.316957,0.378072
792,0.316957,0.567108
793,0.316957,0.567108
794,0.316957,0.378072
795,0.277338,0.378072
796,0.316957,0.378072
797,0.316957,0.378072
798,0.316957,0.378072
799,0.316957,0.378072
